split,id,margin,direction,emoji_pol,gold,gold_pol,markers,text
train,tik020732,0.9327,emoji_NEG->gold_POS,NEG,interest,POS,:(,@linhnhilato m có giống t ko :()
val,2689,0.9327,emoji_NEG->gold_POS,NEG,positive,POS,:(,"thằng nào vẽ đẹp , vẽ giúp tao tấm ảnh per phòng hờ cúp điện không có tài liệu quay tay :("
train,2573,0.9198,emoji_NEG->gold_POS,NEG,positive,POS,:((,đẹp trai v :((((
train,3459,0.9198,emoji_NEG->gold_POS,NEG,positive,POS,:((,ơ hoá ra là em à :(( lâu quá không gặp
train,4937,0.9198,emoji_NEG->gold_POS,NEG,positive,POS,:((,còn người yêu tao : một hơi có một anh đẹp trai bay lơ lửng rồi ôm lấy em khi em tắm :(((
train,you002686,0.9182,emoji_NEG->gold_POS,NEG,positive,POS,😞,Ôi dồi ơiiii như hạn hán gặp mưa vậy Giang ưiiii<br>Đúng cái em cần ngay lúc này 😞
train,4458,0.9182,emoji_NEG->gold_POS,NEG,positive,POS,😞,hmm hãy tưởng tượng nó là một chú gián xink xắm xoè cánh thiên thần bay đến ... 😞
train,you000249,0.9058,emoji_NEG->gold_POS,NEG,interest,POS,😢 😢,"Em có thể thắc mắc một chút đc ko ạ: phía nam VN bây giờ trước đây là đất nc chăm pa, vậy bằng cách nào nó lại trở thành lãnh thổ của nc ta vậy. Có người nói vs e rằng là ng việt xâm lược chăm pa nhg lại nói là khai hoang<br>Mọi người giải đáp thắc mắc giúp e vs ạ😢😢"
train,you000871,0.9058,emoji_NEG->gold_POS,NEG,interest,POS,😢 😢,"Huhu anh ơi anh ra podca đi ạ, e k nghe k ngủ đc 😢😢"
train,tik001514,0.9058,emoji_NEG->gold_POS,NEG,positive,POS,😢 😢,Mong mạnh thường quân giúp đỡ cho người dân vùng núi nghèo khổ đáng thương à😢😢
train,you001136,0.9058,emoji_NEG->gold_POS,NEG,interest,POS,😢,Xin cách cai thuốc lá Thầy ơi 😢
