source_split,source_id,text,emoji_type,emotion_group
train,vsmec_train_1,cho đáng đời con quỷ . về nhà lôi con nhà mày ra mà đánh 😡,unicode,anger
train,vsmec_train_3,uớc gì sau này về già vẫn có thể như cụ này :)),emoticon,positive
train,vsmec_train_8,"ko phải con mình , mà xem còn thấy đau như vậy huống gì người trong cuộc . thật là phẫn nộ mà . cơ quan chức năng làm việc quá chậm trễ , đến giờ mà vẫn chưa tìm ra người chịu trách nhiệm . 😠😠😠😠😠😠",unicode,anger
train,vsmec_train_11,đòn tấn công cực gắt và cục sút của anh 😂😂😂,unicode,anger
train,vsmec_train_12,trời nắng nóng thế này mình muốn bán nước không biết thu nhập có cao không ạ :3,emoticon,neutral
train,vsmec_train_14,mấy thằng củ lol việt nam nhảm nhí :)),emoticon,anger
train,vsmec_train_19,sau em này mà làm cô giáo ngồi kể chuyện hs lại há mồm ra nghe 😁,unicode,positive
train,vsmec_train_22,chả mong gì nhiều chỉ mong về già được như hai ông bà ! 😊😊😊,unicode,positive
train,vsmec_train_24,mày định lướt qua rồi nhưng khi đọc bình luận của các bạn và xem kĩ lại thì mày đã rớt nước mắt 😭😭😭.... người cha thật vĩ đại,unicode,sadness
train,vsmec_train_25,xin đi chơi với bạn ngày tổng kết không cho cứ bắt học miết :)) khá mệt,emoticon,sadness
train,vsmec_train_27,từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá 😭😭😭,unicode,fear
train,vsmec_train_32,"hồi học lớp 5 bảo bố đi mua sgk cho , xong bố đi mua nguyên bộ lớp 4 đầy đủ từ sgk đến vở bài tập 😂",unicode,sadness
train,vsmec_train_33,nay buồn :(((,emoticon,sadness
train,vsmec_train_39,khi nào phường có chế độ phát chồng khi mang thân đến đăng kí kết hôn tự nguyện 😊,unicode,positive
train,vsmec_train_40,đéo được tích sự gì 😂,unicode,anger
train,vsmec_train_42,bản thân cố gắng cũng chẳng dễ dàng gì :((,emoticon,sadness
train,vsmec_train_51,mình thi xong còn không khóc được 😢,unicode,sadness
train,vsmec_train_57,cạn lời với bọn súc vật này làm xấu mặt người bắc giang 😑😑😑,unicode,anger
