source_split,source_id,text,emoji_type,emotion_group
train,5743,bức ảnh xuất sắc ❤️,unicode,positive
train,5795,ấn tượng vãi :v bàn tay vàng trong làng vẩy khế :v,emoticon,positive
train,tik014796,tớ tự ti về mái tóc của tớ💀,unicode,sadness
train,5003,per là ai thế nhỉ cụ :)),emoticon,positive
train,13335,xin hãy public sdt ạ :)),emoticon,positive
train,4503,đú quan trọng bởi người tao yêu củng không đi chơi valungtung thế là tao vui rồi :)),emoticon,positive
train,2177,tao lại bị mọc lông chân rồi :((,emoticon,anger
train,you003088,"Hay lắm cảm ơn bạn, bạn rất đẹp trai và thông thái 😊",unicode,positive
train,1004,dạo này cứ đổ vỡ nhây nhớp là hấp dẫn cư dân mạng à :)) tao thấy đéo đến mức buồn quá,emoticon,anger
train,17555,Nhiều người có khi lại muốn gài bẫy cho chúng nó dính lấy nhau để giải thoát cho chính mình 😢,unicode,anger
train,19324,Mây Chiều nó vẫn hoạt động và lừa người :(,emoticon,anger
train,6761,ra viện tăng chục cân :)),emoticon,positive
train,tik023705,dù có là một đất nước nhỏ trên thế giới nhưng đây là đất nước hạnh phúc❤,unicode,positive
train,21464,"Anh Thanh Đúng là các cụ còng lưng đấu tranh chống bóc lột sức lao động, đến con cháu thì bắt nhân viên chạy đua xuống mồ chung. 🙂",unicode,anger
train,1716,per tao đã làm cho mày đau lòng nhiều lắm ư 🤔,unicode,sadness
train,28836,Lấy le với gái quả này đi mút mùa luôn rồi a 😂,unicode,positive
train,x001046,@Gocnhocuabo Xin lũi vì đã đến đây vào buổi khuya 😭,unicode,sadness
train,1242,per nhớ hội chị em vinmec quá :((,emoticon,sadness
train,tik001419,nhôm 😂,unicode,positive
train,15565,"Hân Nghiên đừng xem, nghiện hơn đá đó b ơi =))",emoticon,anger
train,27228,"Sợ đáp lại tiếng động vào ban đêm. Kiểu tự dưng có tiếng kéo ghế kéo bàn, hay tiếng đồng xu rớt lẽng kẽng hay tiếng đập tường là tui sẽ im thin thít, không dám lên tiếng. Tại sợ nếu mở miệng chưởi hay trả lời sẽ bị con ma biết được vị trí hiện tại rồi bay tới quýnh mình sml 😭🙏",unicode,fear
train,1385,per =))))) hahaaaa,emoticon,positive
train,tik012157,@CaMoc29 vậy ư 😌,unicode,positive
train,1689,"dume về bố lại táng cho bờm đầu , có thể là lần cuối được đi xem đá bóng của cháu nó :))",emoticon,sadness
train,25769,Hoàng Huy ở đây chả ai lật bánh tráng tao đi đường thấy mấy thằng lạng lách đánh võng vẫn kêu tung vô cột điện chetme đi như thường nên t không rảnh để lật với chả bánh tráng ở đây 😀 t chứng kiến công an đánh người vì không chấp hành và chống đối người thi hành công vụ rồi đ ai đánh người như đánh chó như thế 😀 t đâu có kêu không được đánh? 😀,unicode,anger
train,3259,tao lại sợ ngôn tình quá cơ 😒,unicode,fear
train,5919,cắt . cảm ơn đoạn giả dối kia đã giúp các bạn trẻ có thêm niềm tin về 1 tình yêu đẹp 🤣🤣 riêng tao đéo tin nhé,unicode,anger
train,27293,Diệu Thuỷ lúc đó tui thấy mông lung luôn ă sao nhìn mình đáng sợ thế 🙉,unicode,fear
train,966,con mèo khốn nạn dám bóp vếu vợ tao à 😡,unicode,anger
train,you002223,Huhuhu:(( hôm qua đi thi học kỳ e có lấy ví dụ về c Giang!!! Mong dc điểm cao và phù hợppp ❤️,unicode,positive
train,32915,"Khanh Nguyen ủa tự hào vn ???
Hỏi chấm???😎",unicode,positive
train,tik011607,"Điều muốn nói ra thì hãy nói, chứ không sẽ có một ngày hối hận 😌",unicode,sadness
train,6983,Từ nay t tu k hóng nữaaaaa Dưỡng Sinh Bích Nhung 😹,unicode,sadness
train,1048,đọc chả hiểu gì :( mất gốc rồi :(,emoticon,sadness
train,6804,đag đói mà đợi ôg này làm cho ăn chắc nghỉ mẹ nó luôn .:3,emoticon,anger
train,6352,s không để tới lúc chết rồi thêm kỷ lục xác chết có móng tay dài nhất :v,emoticon,anger
train,30933,Lại còn vẫy chào 😆,unicode,positive
train,tik017751,t k bt t bị j🗿,unicode,interest
train,26923,Phạm Bích Hạnh tính lóng như kem vậy :)),emoticon,positive
train,957,thả tao ra để tao cắn chết mẹ nó =)),emoticon,anger
train,30383,Chip Dao kết quả rồi bạn ơi. Bác Trump thắng rồi😊,unicode,positive
train,513,khi bạn muốn lầy và cũng có người lầy cùng bạn =)),emoticon,positive
train,22032,"Chồng tôi đã từng úp tô mỳ tôm lên cái máy mac 36 củ, sau đó mất thêm 5 củ để sấy rồi sửa các kiểu… Sau đó nữa là mua máy mới chứ ông bà cày nát phòng gym rồi nhưng gánh ko lại =))) Case này đòi luôn máy mới chứ chục củ còn ít =)))",emoticon,anger
train,3698,lúc nhỏ bà hàng xóm của tao bị dí chạy tới mức bã phải nhảy xuống sông bã lội trốn mà tụi nó cũng nhảy theo với bã 🤣,unicode,positive
train,tik011995,Vâng.😳🥺,unicode,sadness
train,tik013694,Rất tủi thân😔😔 tôi đã rơi nc mắt khi tôi thấy mình trong này,unicode,sadness
train,27648,"Hà Quốc Dũng oa~ thì phải khôn vào con bố =)))) nói thì đ có lý, đọc hiểu thì kém, tìm hiểu thì cũng đ tìm mà ngồi bênh như bênh cmm =)) con mm làm 4 à mà bêh ghê thế",emoticon,anger
train,27632,"Tịch thu hung khí gây án đi ạ, lúc đó nó mới hiểu nạn nhân mất cj😇😇",unicode,anger
train,16613,"Content bị lặp ad ơi, hơi tụt mood xíu nhưng bát cháo hành này vẫn chất lượng, cảm ơn ad ạ <3",emoticon,anger
train,26975,Ôi đàn bà 😂,unicode,positive
train,you001684,chị ơi làm sao để giảm bớt stress khi nhớ nhà vậy chị :(((,emoticon,sadness
train,4866,dỗ lại dễ thôi mà . nhỉ nhỉ 🤣🤣🤣,unicode,positive
train,28027,Mang bệnh tật của người khác để đùa cợt các bạn vui lắm nhỉ 🙂,unicode,anger
train,6446,nhìn ngon ngẻ v thôi chứ toàn gay qá :((,emoticon,anger
train,3157,per đu ̣ me ̣ như 1 tro ̀ đu ̀ anh =))))) đi gia ̉ mày tô ́ c co ̀ n nhiê ̀ u hơn khu nha ̀ ông,emoticon,anger
train,tik012303,hối hận vì đã lấy chồng sớm 🥺,unicode,sadness
train,you000887,"Anh ơi, cho em xin link mua cái ghế ạ :)))",emoticon,interest
train,7,một hành động đẹp đầy tính nhân văn ☺️☺️,unicode,positive
train,tik017485,gặp mấy chị gái hay các anh trai đều không dám nhìn vù tự ti nước da đen 😞,unicode,sadness
train,260,"em cũng như con chó thôi , nếu anh đủ kiên nhẫn thì mọi chuyện đã khác rồi 😪",unicode,sadness
train,tik023521,xem tự hào ghê😂,unicode,positive
train,26610,"Tôi rất thương yêu động vật , nhưng động vật đó xứng đáng tuyệt chủng :)",emoticon,anger
train,4748,câu chuyện dễ thương thật ^^,emoticon,positive
train,28928,"Nguyễn Sin trai tài gái sắc, đôi mình là nhất....😄",unicode,positive
train,tik012158,@yenngann      🌷 xin lỗi em vì tất cả,unicode,sadness
train,16789,lol negan nó đập đầu như đập đậu hũ v :)),emoticon,anger
train,tik000193,bả kéo áo xuống là t vô đọc cmt liền 🥰,unicode,positive
train,6130,"quần áo với xe thế kia là biết gia đình điều kiện tnao rồi 😂 anw , mong ông bà luôn khỏe mạnh , vui vẻ < 3",unicode,positive
train,1536,"tất cả là do chính sách sai lầm của những người đứng đầu tỉnh sơn la . tsb cao su nó phù hợp trồng ở cao nguyên + nhiệt đới nắng lắm chứ lên tây bắc lạnh giá + sương muối thì cây cao su làm sao nó sinh trưởng tốt và hợp khí hậu được mà chả trắng tay :))) còn cả cây cafe đang được trồng ở sơn la , điện biên nữa sớm muộn gì những người dân trồng hai loại cây này cũng nhận trái đắng trắng tay thôi",emoticon,anger
